region,baseline_2019,mean_2025,recovery_%
HR,228727.25,373735.125,63.39772589405066
MT,38946.166666666664,61175.625,57.0773974332091
LU,16671.166666666668,25480.0,52.83873354194366
CY,84293.25,128148.25,52.02670439210733
BG,657529.1666666666,959382.5,45.907215776233
CZ,1462637.6666666667,1872501.0,28.02220554509627
PL,3218957.3333333335,4115379.5,27.848215239883057
DK,800010.8333333334,985339.625,23.165785254991334
NL,2022672.4166666667,2442565.25,20.759309805851323
LV,86330.5,102802.25,19.079873277694446
PT,1491969.0833333333,1755543.75,17.666228450109188
EE,148125.08333333334,172932.875,16.747866808513745
RO,1627018.25,1846775.625,13.506755379049995
SE,2470336.3333333335,2734236.0,10.68274239040865
LT,159242.25,175742.75,10.361885743262222
ES,9967436.583333334,10694851.625,7.297914921104032
SI,178066.0,190342.75,6.894494176316646
IT,11698063.833333334,12479146.875,6.677028376618965
HU,1032814.5833333334,1094454.0,5.968100921632025
FI,1068007.4166666667,1117221.0,4.607981420853102
AT,2157710.0,2254992.625,4.508605187907544
BE,677143.5,700703.0,3.4792477517690212
SK,603202.5,606540.75,0.5534211147997459
DE,19500447.25,19201805.625,-1.5314603874021393
FR,11838961.75,11630191.375,-1.763417936543299
